country,image,gggi2006rank,gggi2006score,gggi2021rank,gggi2021score,epo2006rank,epo2006score,epo2021rank,epo2021score,ea2006rank,ea2006score,ea2021rank,ea2021score,hs2006rank,hs2006score,hs2021rank,hs2021score,pe2006rank,pe2006score,pe2021rank,pe2021score
Georgia,49,54,0.670,49,0.732,41,0.656,64,0.705,28,0.997,30,1.000,115,0.923,50,0.977,59,0.104,60,0.245
Australia,50,15,0.716,50,0.731,12,0.726,70,0.700,1,1.000,1,1.000,57,0.976,99,0.968,32,0.163,54,0.258
Suriname,51,,,51,0.729,,,67,0.703,,,71,0.993,,,90,0.969,,,56,0.252
Eswatini,52,,0.660,52,0.729,,0.621,17,0.797,,0.960,79,0.992,,0.948,1,0.980,,0.111,102,0.147
Guyana,53,,,53,0.728,,,105,0.638,,,91,0.984,,,1,0.980,,,44,0.310
Singapore,54,65,0.655,54,0.727,45,0.646,33,0.749,86,0.931,87,0.990,107,0.960,132,0.963,75,0.083,72,0.208
Luxembourg,55,56,0.667,55,0.726,76,0.560,75,0.691,1,1.000,1,1.000,71,0.973,117,0.965,44,0.135,58,0.247
Zambia,56,85,0.636,56,0.726,64,0.602,14,0.804,100,0.843,125,0.938,102,0.963,1,0.980,43,0.135,84,0.180
Madagascar,57,84,0.639,57,0.725,71,0.578,32,0.754,76,0.960,93,0.982,49,0.978,111,0.965,104,0.038,76,0.200
Bahamas,58,,,58,0.725,,,2,0.857,,,1,1.000,,,1,0.980,,,146,0.064
Colombia,59,22,0.705,59,0.725,39,0.661,60,0.708,14,1.000,1,1.000,1,0.980,56,0.975,27,0.180,67,0.216
Israel,60,35,0.689,60,0.724,46,0.641,65,0.705,36,0.995,1,1.000,83,0.969,121,0.964,36,0.150,65,0.227
Bolivia,61,87,0.634,61,0.722,77,0.559,121,0.595,89,0.917,96,0.981,79,0.970,137,0.962,71,0.087,34,0.352
Peru,62,60,0.662,62,0.721,86,0.531,109,0.629,71,0.976,95,0.981,58,0.976,125,0.964,31,0.165,43,0.310
Italy,63,77,0.646,63,0.721,87,0.527,114,0.609,27,0.997,57,0.997,77,0.972,118,0.965,72,0.087,41,0.313
Timorleste,64,,,64,0.720,,,49,0.724,,,123,0.946,,,71,0.972,,,62,0.238
Bangladesh,65,91,0.627,65,0.719,107,0.423,147,0.418,95,0.868,121,0.951,113,0.950,134,0.962,17,0.267,7,0.546
Uganda,66,47,0.680,66,0.717,28,0.677,74,0.692,98,0.859,131,0.898,60,0.976,1,0.980,22,0.207,46,0.296
Honduras,67,74,0.648,67,0.716,99,0.478,52,0.721,1,1.000,1,1.000,1,0.980,122,0.964,42,0.136,85,0.179
Cape Verde,68,,,68,0.716,,,29,0.761,,,106,0.972,,,1,0.980,,,99,0.152
Mongolia,69,42,0.682,69,0.716,21,0.704,23,0.769,20,0.999,73,0.993,1,0.980,1,0.980,101,0.046,116,0.122
Chile,70,78,0.645,70,0.716,90,0.514,113,0.610,69,0.980,31,1.000,1,0.980,78,0.970,56,0.109,49,0.283
Botswana,71,34,0.690,71,0.716,23,0.693,16,0.799,67,0.981,1,1.000,109,0.956,1,0.980,47,0.129,135,0.084
United Arab Emirates,72,101,0.592,72,0.716,109,0.403,135,0.510,61,0.986,89,0.987,100,0.964,130,0.963,112,0.015,24,0.403
North Macedonia,73,28,0.698,73,0.715,31,0.671,97,0.647,64,0.985,99,0.977,101,0.964,85,0.970,28,0.173,53,0.267
Ukraine,74,48,0.680,74,0.714,24,0.691,44,0.732,25,0.998,27,1.000,1,0.980,41,0.978,97,0.050,103,0.147
Poland,75,44,0.680,75,0.713,50,0.635,63,0.705,13,1.000,60,0.996,36,0.979,1,0.980,58,0.107,89,0.171
Bosnia and Herzegovina,76,,,76,0.713,,,115,0.608,,,110,0.967,,,64,0.974,,,45,0.302
Slovak Republic,77,50,0.676,77,0.712,43,0.650,80,0.682,34,0.995,1,1.000,1,0.980,1,0.980,77,0.077,82,0.184
Czech Republic,78,53,0.671,78,0.711,52,0.627,91,0.662,47,0.991,1,1.000,36,0.979,44,0.978,70,0.088,73,0.203
Thailand,79,40,0.683,79,0.710,13,0.722,22,0.787,72,0.973,74,0.992,1,0.980,41,0.978,89,0.058,134,0.084
Kazakhstan,80,32,0.693,80,0.710,16,0.713,47,0.728,53,0.990,65,0.995,36,0.979,55,0.975,69,0.089,106,0.141
Russian Federation,81,49,0.677,81,0.708,22,0.696,25,0.767,19,0.999,1,1.000,36,0.979,1,0.980,108,0.034,133,0.085
Tanzania,82,24,0.704,82,0.707,1,0.809,66,0.703,97,0.859,127,0.921,95,0.967,80,0.970,26,0.180,63,0.235
Cyprus,83,83,0.643,83,0.707,75,0.562,72,0.694,55,0.989,49,0.998,84,0.969,140,0.960,95,0.052,86,0.177
Malta,84,71,0.652,84,0.703,91,0.510,94,0.656,26,0.998,1,1.000,65,0.974,116,0.965,48,0.126,80,0.192
Uruguay,85,66,0.655,85,0.702,60,0.611,76,0.690,47,0.991,29,1.000,1,0.980,1,0.980,103,0.039,107,0.140
Paraguay,86,64,0.656,86,0.702,80,0.554,85,0.672,83,0.944,47,0.998,1,0.980,62,0.974,38,0.144,94,0.164
Viet Nam,87,,,87,0.701,,,26,0.765,,,94,0.982,,,152,0.945,,,121,0.113
Romania,88,46,0.680,88,0.700,30,0.673,50,0.723,44,0.993,54,0.997,36,0.979,1,0.980,79,0.074,129,0.100
Dominican Republic,89,59,0.664,89,0.699,78,0.559,101,0.646,1,1.000,32,1.000,1,0.980,1,0.980,49,0.117,88,0.172
Belize,90,,,90,0.699,,,34,0.749,,,81,0.991,,,31,0.980,,,140,0.075
Venezuela,91,57,0.666,91,0.699,66,0.600,112,0.617,62,0.986,43,0.998,71,0.973,1,0.980,57,0.107,77,0.199
Lesotho,92,43,0.681,92,0.698,61,0.607,98,0.647,1,1.000,1,1.000,1,0.980,1,0.980,41,0.136,91,0.165
Brazil,93,67,0.654,93,0.695,63,0.604,89,0.665,74,0.972,37,1.000,1,0.980,1,0.980,86,0.061,108,0.138
Liberia,94,,,94,0.693,,,53,0.717,,,142,0.839,,,136,0.962,,,55,0.255
Kenya,95,73,0.649,95,0.692,40,0.657,84,0.672,88,0.918,126,0.929,96,0.966,60,0.975,93,0.053,79,0.193
Cameroon,96,103,0.587,96,0.692,94,0.495,61,0.706,101,0.824,137,0.885,97,0.966,67,0.973,85,0.061,74,0.202
Ethiopia,97,100,0.595,97,0.691,74,0.568,128,0.560,108,0.739,141,0.850,87,0.969,77,0.971,61,0.102,28,0.382
Greece,98,69,0.654,98,0.689,70,0.585,83,0.672,46,0.992,67,0.994,53,0.978,107,0.966,87,0.061,115,0.123
Hungary,99,55,0.670,99,0.688,48,0.640,86,0.669,49,0.991,72,0.993,36,0.979,1,0.980,82,0.069,124,0.112
Azerbaijan,100,,,100,0.688,,,36,0.748,,,62,0.996,,,154,0.939,,,141,0.069
Indonesia,101,68,0.654,101,0.688,67,0.598,99,0.647,81,0.949,107,0.970,88,0.969,76,0.971,63,0.101,92,0.164
Korea Rep.,102,92,0.616,102,0.687,96,0.481,123,0.586,82,0.948,104,0.973,94,0.967,54,0.976,84,0.067,68,0.214
Cambodia,103,89,0.629,103,0.684,29,0.675,46,0.729,105,0.809,128,0.919,1,0.980,46,0.978,94,0.053,126,0.111
Senegal,104,,,104,0.684,,,131,0.554,,,136,0.888,,,103,0.967,,,38,0.327
Togo,105,,,105,0.683,,,21,0.787,,,147,0.782,,,38,0.979,,,81,0.185
Nepal,106,111,0.548,106,0.683,100,0.465,107,0.630,109,0.734,134,0.895,111,0.953,113,0.965,102,0.039,61,0.241
China,107,63,0.656,107,0.682,53,0.621,69,0.701,78,0.957,103,0.973,114,0.936,156,0.935,52,0.111,118,0.118
Kyrgyz Republic,108,52,0.674,108,0.681,26,0.687,100,0.646,33,0.995,85,0.990,1,0.980,1,0.980,107,0.035,127,0.108
Myanmar,109,,,109,0.681,,,93,0.657,,,102,0.975,,,1,0.980,,,120,0.113
Mauritius,110,88,0.633,110,0.679,95,0.483,118,0.600,65,0.983,78,0.992,1,0.980,1,0.980,73,0.085,105,0.144
Brunei Darussalam,111,,,111,0.678,,,51,0.722,,,75,0.992,,,112,0.965,,,152,0.031
